id,age,age_group,gender,education,experience,graduation_year,outdated_vocab,hobby,youth_hobby,model_score,model_decision,true_success,historical_success
113,58,45+,1,2,19,1980.0,1,садоводство,0,0.13892589757773038,0,0,0
114,45,30-45,1,2,14,1994.0,1,путешествия,0,0.2461457655010466,0,0,1
115,24,<30,1,1,5,2019.0,0,чтение,0,0.6312218279589032,1,0,1
116,26,<30,1,2,6,2008.0,0,путешествия,0,0.5792163409536817,1,0,1
117,25,<30,0,2,4,2009.0,0,скейтборд,1,0.715588291435149,1,1,1
118,29,<30,1,1,5,2015.0,0,блогинг,1,0.7585360944935493,1,1,1
119,51,45+,0,1,20,1989.0,0,шахматы,0,0.21630848280118598,0,0,1
120,50,45+,1,3,26,2001.0,1,вязание,0,0.34152561018875793,0,0,1
121,65,45+,1,1,27,1981.0,1,шахматы,0,0.10154420540354452,0,0,0
122,40,30-45,0,4,11,2005.0,0,спорт,0,0.6118571278217922,1,0,1
123,41,30-45,0,1,9,2003.0,1,чтение,0,0.23153579518719955,0,0,0
124,54,45+,1,3,20,1987.0,1,чтение,0,0.228110057480878,0,0,1
125,52,45+,1,3,30,1990.0,0,чтение,0,0.37371492954983265,0,1,1
126,61,45+,0,4,15,1984.0,1,фотография,0,0.22235203194548397,0,0,0
127,57,45+,1,3,17,1982.0,0,шахматы,0,0.3287611231340752,0,1,0
128,39,30-45,1,2,18,2007.0,0,спорт,0,0.529571299767562,1,0,1
129,44,30-45,1,2,20,1997.0,1,фотография,0,0.25734981847567295,0,0,0
130,52,45+,1,2,21,1994.0,0,рыбалка,0,0.3740429469421765,0,1,0
131,18,<30,1,1,0,2019.0,0,программирование,1,0.8009655756451641,1,0,1
132,52,45+,0,1,19,1982.0,1,садоводство,0,0.09199776598054929,0,0,0
133,54,45+,1,3,15,1987.0,1,чтение,0,0.23971148069669887,0,0,1
134,64,45+,1,3,23,1981.0,1,путешествия,0,0.17766591720369906,0,1,0
135,31,30-45,0,3,7,2012.0,0,фотография,0,0.6292412666777559,1,0,0
136,20,<30,0,4,3,2010.0,0,фотография,0,0.6872675593887119,1,0,1
137,18,<30,0,3,0,2022.0,0,скейтборд,1,0.8661150655705121,1,1,1
138,22,<30,1,3,2,2020.0,0,видеоигры,1,0.8816667096179757,1,1,1
139,43,30-45,1,3,11,2002.0,1,фотография,0,0.3973502483042537,0,1,0
140,31,30-45,1,1,9,2009.0,0,путешествия,0,0.5070909328985044,1,1,1
141,56,45+,1,2,30,1991.0,1,рыбалка,0,0.18790674430773197,0,0,0
142,44,30-45,1,4,13,2000.0,1,чтение,0,0.44131971896418204,0,1,0
143,26,<30,0,4,5,2022.0,0,путешествия,0,0.787551459940945,1,1,1
144,32,30-45,0,3,8,2013.0,0,чтение,0,0.6368555917268721,1,0,1
145,32,30-45,0,2,3,2021.0,0,чтение,0,0.6669139420627345,1,0,0
146,43,30-45,0,3,12,1995.0,1,спорт,0,0.2673309801811938,0,1,1
147,59,45+,1,1,29,1992.0,1,путешествия,0,0.15406609484675626,0,1,0
148,30,<30,1,1,4,2022.0,0,фотография,0,0.6654330224963165,1,1,1
149,49,45+,0,2,19,2002.0,1,фотография,0,0.25410778236810366,0,1,0
150,56,45+,1,2,26,1986.0,0,садоводство,0,0.27979092560995794,0,0,1
151,49,45+,1,2,19,2006.0,0,рыбалка,0,0.5149314455712773,1,1,0
152,21,<30,0,2,1,2015.0,0,чтение,0,0.609636343500578,1,0,1
153,47,45+,0,1,20,1996.0,1,садоводство,0,0.15946422083266365,0,1,0
154,54,45+,0,2,17,1988.0,1,спорт,0,0.15562665692123656,0,0,0
155,40,30-45,0,3,8,2000.0,0,чтение,0,0.49181545400800525,0,1,0
156,56,45+,1,3,27,1984.0,0,путешествия,0,0.3204208836085839,0,1,0
157,62,45+,0,1,24,1993.0,1,садоводство,0,0.13573090605851768,0,0,0
158,32,30-45,0,2,8,2018.0,0,путешествия,0,0.6206527731558638,1,0,1
159,60,45+,1,3,29,1987.0,1,фотография,0,0.20824000881549928,0,1,0
160,46,45+,1,3,19,1998.0,1,рыбалка,0,0.33113880309956606,0,1,1
161,53,45+,0,2,24,1993.0,1,путешествия,0,0.17463323604043954,0,0,1
162,30,<30,0,3,11,2017.0,1,путешествия,0,0.5026981632417938,1,0,1
163,49,45+,0,4,29,2002.0,1,рыбалка,0,0.35201672905568593,0,1,0
164,24,<30,0,1,3,2013.0,0,скейтборд,1,0.6943383197235935,1,1,1
165,39,30-45,0,2,8,2001.0,0,фотография,0,0.4292083920578992,0,0,1
166,45,30-45,1,2,19,1996.0,1,чтение,0,0.2511350287472164,0,1,1
167,19,<30,0,3,0,2012.0,1,видеоигры,1,0.671444493763827,1,0,0
168,59,45+,0,1,25,1979.0,1,садоводство,0,0.07555217059568485,0,1,0
169,62,45+,1,1,28,1993.0,1,рыбалка,0,0.16187000010805935,0,0,0
170,23,<30,0,2,4,2012.0,0,чтение,0,0.5670301277238948,1,0,1
171,45,30-45,0,4,22,1999.0,1,спорт,0,0.3414763194511841,0,0,1
172,45,30-45,0,3,19,2007.0,1,чтение,0,0.3658400258604151,0,0,0
173,61,45+,1,3,28,1985.0,1,чтение,0,0.19559201742645324,0,0,0
174,61,45+,0,3,27,1982.0,1,садоводство,0,0.14222330491602875,0,1,0
175,37,30-45,1,1,14,2000.0,0,путешествия,0,0.3898478913669808,0,0,1
176,47,45+,1,3,16,2002.0,0,фотография,0,0.5532341374949721,1,1,1
177,28,<30,0,3,8,2011.0,1,фотография,0,0.44405198710746635,0,1,1
178,45,30-45,1,2,12,1997.0,0,фотография,0,0.4350762641187247,0,1,1
179,42,30-45,0,3,7,2007.0,1,путешествия,0,0.40258619941532303,0,1,0
180,56,45+,0,3,18,1992.0,1,фотография,0,0.22739186104365558,0,0,0
181,50,45+,1,3,26,1999.0,0,вязание,0,0.4867667289989934,0,1,0
182,18,<30,1,1,0,2018.0,0,чтение,0,0.6356386976030833,1,0,1
183,44,30-45,1,4,13,1998.0,1,фотография,0,0.41890581156708234,0,1,0
184,30,<30,0,4,2,2017.0,0,спорт,0,0.7540689347558597,1,1,1
185,58,45+,0,2,35,1990.0,1,путешествия,0,0.1379071525298356,0,0,0
186,20,<30,1,1,5,2020.0,0,блогинг,1,0.7979156761907227,1,0,0
187,56,45+,0,1,16,1986.0,1,садоводство,0,0.11227473253026997,0,0,0
188,23,<30,0,4,5,2017.0,0,фотография,0,0.7467931383415584,1,1,1
189,25,<30,0,3,4,2015.0,0,путешествия,0,0.6692960206012482,1,0,1
190,44,30-45,0,2,15,1996.0,0,путешествия,0,0.35334188711178294,0,0,1
191,26,<30,1,2,3,2014.0,0,чтение,0,0.6531207498340285,1,1,1
192,54,45+,0,2,19,1983.0,0,вязание,0,0.22258477988696102,0,1,0
193,50,45+,1,3,20,2005.0,1,шахматы,0,0.40230194021832416,0,0,0
194,59,45+,0,2,19,1990.0,1,путешествия,0,0.16443722975846234,0,1,0
195,61,45+,1,4,25,1992.0,1,спорт,0,0.31928750604226735,0,1,0
196,41,30-45,0,3,14,2004.0,0,чтение,0,0.5181107527899876,1,1,0
197,32,30-45,0,3,8,2018.0,0,чтение,0,0.6879150309227915,1,0,1
198,49,45+,0,2,19,1993.0,0,вязание,0,0.31144518849573977,0,0,0
199,49,45+,0,1,18,2001.0,1,шахматы,0,0.19660154418721357,0,0,0
200,41,30-45,1,2,13,2007.0,0,чтение,0,0.5456661857606956,1,0,1
201,58,45+,1,2,31,1984.0,1,фотография,0,0.14225004712669864,0,0,0
202,29,<30,1,2,7,2023.0,0,фотография,0,0.729591167335206,1,0,1
203,56,45+,0,4,28,1989.0,0,садоводство,0,0.37831584059293827,0,0,0
204,19,<30,0,2,0,2014.0,1,скейтборд,1,0.624364376107757,1,0,1
205,20,<30,0,1,1,2013.0,0,путешествия,0,0.5140600075684052,1,0,1
206,54,45+,1,1,21,1989.0,0,фотография,0,0.26083586980060164,0,0,1
207,34,30-45,1,2,8,2011.0,1,чтение,0,0.4343385369865687,0,0,0
208,19,<30,1,4,1,2016.0,0,скейтборд,1,0.8943921241952495,1,1,1
209,19,<30,0,2,0,2009.0,0,блогинг,1,0.7260122647740934,1,0,1
210,45,30-45,1,2,11,2005.0,0,путешествия,0,0.5293703823543636,1,0,1
211,40,30-45,0,3,13,1997.0,0,чтение,0,0.4415974488556573,0,0,0
212,54,45+,1,2,35,1987.0,1,рыбалка,0,0.15299009959886165,0,0,0
213,49,45+,1,2,17,2005.0,0,путешествия,0,0.5099773678234985,1,0,1
214,50,45+,1,1,24,2006.0,1,фотография,0,0.26931617726201534,0,0,0
215,18,<30,1,2,0,2012.0,0,блогинг,1,0.7974292166207247,1,0,0
216,36,30-45,0,1,9,1998.0,1,фотография,0,0.193362612570092,0,0,1
217,19,<30,1,1,0,2014.0,0,фотография,0,0.5923204556133561,1,0,1
218,61,45+,0,3,22,1989.0,1,вязание,0,0.19590507007918453,0,0,0
219,43,30-45,1,1,11,1996.0,0,спорт,0,0.3561718390922838,0,0,0
220,49,45+,0,3,18,2002.0,1,вязание,0,0.3173878684160605,0,0,0
221,23,<30,1,3,2,2018.0,0,видеоигры,1,0.8717867526962968,1,0,1
222,49,45+,1,3,22,2000.0,1,фотография,0,0.34289241570057694,0,0,0
223,21,<30,1,2,1,2018.0,0,скейтборд,1,0.8364065379459782,1,1,1
224,28,<30,1,1,4,2013.0,0,путешествия,0,0.5685739885994113,1,0,1
225,34,30-45,1,3,10,2019.0,0,фотография,0,0.7443782060078021,1,0,1
226,55,45+,1,3,20,1981.0,1,чтение,0,0.18341334112462876,0,1,1
227,41,30-45,1,3,11,1999.0,0,путешествия,0,0.5352688201423726,1,1,1
228,22,<30,1,1,3,2011.0,1,спорт,0,0.378130776260156,0,0,0
229,51,45+,0,4,20,1990.0,1,садоводство,0,0.2606897021952454,0,0,1
230,23,<30,1,1,1,2010.0,0,блогинг,1,0.7246856298092945,1,0,1
231,39,30-45,1,2,19,2000.0,0,чтение,0,0.4465466884310296,0,0,1
232,28,<30,1,2,7,2019.0,0,скейтборд,1,0.8319845118528794,1,1,1
233,65,45+,0,1,31,1983.0,1,фотография,0,0.08323697359346835,0,0,1
234,33,30-45,0,2,7,2013.0,0,фотография,0,0.5687180418365334,1,0,0
235,50,45+,1,3,14,1997.0,0,чтение,0,0.5027499427695064,1,1,1
236,26,<30,0,3,5,2022.0,0,спорт,0,0.7334424390538162,1,0,1
237,23,<30,1,3,6,2013.0,0,программирование,1,0.8370446318483132,1,1,1
238,33,30-45,0,2,8,2019.0,0,путешествия,0,0.6313585255768998,1,0,1
239,46,45+,0,3,13,1996.0,0,вязание,0,0.4303530414754494,0,0,1
240,20,<30,1,1,2,2022.0,0,чтение,0,0.6711744276455859,1,1,1
241,37,30-45,1,2,10,2005.0,0,спорт,0,0.5325955294468215,1,0,0
242,53,45+,1,1,18,1995.0,1,путешествия,0,0.1941264526850499,0,1,0
243,36,30-45,1,2,13,2011.0,0,спорт,0,0.5905146203048337,1,0,0
244,43,30-45,0,2,24,2001.0,1,спорт,0,0.23374147933882933,0,1,1
245,20,<30,1,2,3,2011.0,0,чтение,0,0.6214240060164145,1,0,1
246,36,30-45,0,3,11,2008.0,0,спорт,0,0.5730347635745132,1,1,1
247,37,30-45,1,4,16,2010.0,0,чтение,0,0.7063355530156704,1,1,0
248,49,45+,1,2,17,2008.0,0,вязание,0,0.5441604491861313,1,0,1
249,24,<30,0,4,8,2019.0,1,фотография,0,0.6080619179155896,1,0,1
250,58,45+,1,3,25,1991.0,1,спорт,0,0.24958111883189743,0,1,0
251,50,45+,1,3,17,2010.0,1,фотография,0,0.4679479526117856,0,1,1
252,57,45+,0,3,25,1993.0,0,фотография,0,0.36054402231805294,0,0,0
253,56,45+,1,1,22,1983.0,1,рыбалка,0,0.11670885186374884,0,1,0
254,35,30-45,0,3,7,2019.0,1,спорт,0,0.5384373110831235,1,0,0
255,57,45+,0,3,22,1981.0,1,садоводство,0,0.14455977788310517,0,1,1
256,18,<30,1,4,0,2017.0,0,путешествия,0,0.8029705582697458,1,1,1
257,28,<30,1,3,7,2013.0,1,фотография,0,0.534521950297135,1,0,1
258,45,30-45,1,3,13,1997.0,1,фотография,0,0.3382581278926888,0,0,1
259,42,30-45,1,3,12,2001.0,0,чтение,0,0.5547344269404155,1,0,0
260,40,30-45,1,2,7,2006.0,1,спорт,0,0.38228314592392615,0,1,0
261,48,45+,1,2,24,2003.0,0,спорт,0,0.46451059235459363,0,0,1
262,47,45+,0,2,20,2006.0,1,фотография,0,0.28764383978609165,0,1,0
263,59,45+,0,2,19,1989.0,1,путешествия,0,0.158250125349461,0,0,0
264,52,45+,0,2,18,1985.0,1,фотография,0,0.13690072579304075,0,0,0
265,24,<30,0,3,1,2014.0,0,спорт,0,0.6677717909394405,1,1,0
266,33,30-45,1,3,10,2019.0,0,чтение,0,0.7443782060078021,1,0,1
267,43,30-45,0,4,10,1998.0,0,чтение,0,0.5369249485134329,1,0,1
268,65,45+,0,3,32,1991.0,1,чтение,0,0.1899812921592793,0,0,0
269,19,<30,0,3,0,2015.0,0,спорт,0,0.6806594964197553,1,0,1
270,18,<30,1,4,0,2010.0,0,программирование,1,0.8670339986901777,1,0,1
271,65,45+,1,3,34,1990.0,1,чтение,0,0.2204354971469877,0,0,0
272,29,<30,1,3,3,2010.0,0,программирование,1,0.823183058259448,1,0,1
273,22,<30,1,2,2,2013.0,0,путешествия,0,0.6456577141085315,1,0,1
274,54,45+,1,2,26,1985.0,1,рыбалка,0,0.15627030781733872,0,0,0
275,49,45+,1,2,18,2007.0,1,вязание,0,0.35971689719908484,0,0,0
276,26,<30,0,3,10,2018.0,0,путешествия,0,0.6823275759506044,1,1,1
277,58,45+,1,3,27,1993.0,1,спорт,0,0.2620599493236772,0,1,0
278,52,45+,1,2,23,1989.0,1,садоводство,0,0.18778370951365594,0,0,0
279,36,30-45,1,2,9,2002.0,0,чтение,0,0.5015822851026133,1,0,0
280,65,45+,1,4,40,1978.0,1,спорт,0,0.1691706524817816,0,0,0
281,33,30-45,1,3,14,2010.0,0,путешествия,0,0.6469098050073928,1,0,1
282,20,<30,1,2,2,2021.0,0,спорт,0,0.724289971127126,1,0,1
283,37,30-45,1,3,14,1993.0,1,чтение,0,0.29589254559197703,0,0,1
284,41,30-45,0,3,15,1999.0,0,фотография,0,0.4578197088910759,0,1,0
285,50,45+,1,4,18,2000.0,0,фотография,0,0.597355154994493,1,1,0
286,41,30-45,0,2,16,2001.0,1,спорт,0,0.25280627436386455,0,0,1
287,28,<30,1,1,4,2012.0,0,блогинг,1,0.7350567881338508,1,1,1
288,25,<30,1,2,2,2013.0,0,видеоигры,1,0.8006133915822347,1,0,1
289,53,45+,0,2,22,1979.0,1,фотография,0,0.1027116144070536,0,0,0
290,55,45+,1,3,32,1982.0,1,шахматы,0,0.16755359533983893,0,1,0
291,57,45+,0,2,20,1985.0,0,вязание,0,0.23646515517421532,0,0,0
292,37,30-45,1,4,14,2001.0,0,чтение,0,0.6205746139952549,1,0,1
293,52,45+,0,2,25,1987.0,1,шахматы,0,0.13699604549272423,0,0,0
294,65,45+,1,4,20,1988.0,0,фотография,0,0.4550720696456571,0,1,0
295,42,30-45,0,1,14,2000.0,0,фотография,0,0.33035424767020766,0,0,1
296,52,45+,1,3,16,1995.0,1,чтение,0,0.3097311837739762,0,0,0
297,42,30-45,0,4,15,2008.0,0,спорт,0,0.6319315964693425,1,1,1
298,46,45+,1,4,15,2005.0,1,спорт,0,0.49173550346214134,0,1,1
299,35,30-45,1,1,8,2017.0,0,чтение,0,0.6004047788240534,1,1,0
300,63,45+,1,1,28,1984.0,1,путешествия,0,0.11345303394920071,0,1,0
301,35,30-45,1,3,13,2014.0,1,спорт,0,0.5265587767975507,1,0,0
302,19,<30,1,1,0,2009.0,0,чтение,0,0.5361664456987444,1,0,1
303,52,45+,0,1,17,1987.0,1,чтение,0,0.11558355672150805,0,0,0
304,33,30-45,0,2,7,2022.0,1,путешествия,0,0.49829292584674084,0,0,0
305,58,45+,0,3,27,1992.0,1,чтение,0,0.2075675495857519,0,0,0
306,53,45+,1,3,24,1982.0,1,садоводство,0,0.1825056760562796,0,0,0
307,50,45+,1,1,21,1999.0,1,садоводство,0,0.21766085953091607,0,0,0
308,21,<30,0,1,0,2019.0,0,скейтборд,1,0.7565226453488925,1,0,1
309,50,45+,1,2,20,2008.0,1,рыбалка,0,0.36429646254360715,0,0,0
310,31,30-45,1,3,8,2010.0,0,путешествия,0,0.6644492985856735,1,0,1
311,38,30-45,1,1,10,2010.0,0,путешествия,0,0.5152814318009282,1,0,1
312,65,45+,0,2,23,1985.0,1,шахматы,0,0.12942802686048127,0,0,0
313,37,30-45,0,4,10,2009.0,0,чтение,0,0.6572343454121715,1,0,1
314,25,<30,1,4,2,2023.0,0,блогинг,1,0.920089777717512,1,0,1
315,24,<30,1,4,2,2020.0,0,блогинг,1,0.9094039668120626,1,0,1
316,20,<30,0,3,2,2014.0,0,блогинг,1,0.8138616749443917,1,1,1
317,34,30-45,1,2,11,2022.0,1,фотография,0,0.549834462589542,1,0,0
318,50,45+,1,3,25,2007.0,0,спорт,0,0.5807470583841036,1,0,1
319,65,45+,1,2,27,1986.0,1,путешествия,0,0.1606410886302102,0,1,1
320,29,<30,1,3,4,2016.0,0,скейтборд,1,0.858086873071152,1,1,0
321,39,30-45,0,2,14,1996.0,0,путешествия,0,0.356306522293788,0,1,0
322,39,30-45,0,3,13,2007.0,0,путешествия,0,0.5554246920835552,1,1,1
323,63,45+,1,3,30,1983.0,1,вязание,0,0.1777837739085329,0,1,0
324,47,45+,0,1,22,2002.0,0,вязание,0,0.3276733287464324,0,1,0
325,55,45+,0,3,21,1978.0,1,вязание,0,0.12986406042632145,0,0,0
326,55,45+,0,1,23,1991.0,0,вязание,0,0.22535952426554104,0,0,0
327,62,45+,0,2,30,1990.0,1,спорт,0,0.14578742358595856,0,1,0
328,25,<30,0,1,3,2016.0,0,путешествия,0,0.5417879527917737,1,1,1
329,44,30-45,0,2,12,2002.0,0,чтение,0,0.427721478899421,0,1,1
330,44,30-45,0,1,13,1999.0,1,чтение,0,0.1924173130030805,0,1,1
331,51,45+,0,4,29,1988.0,1,шахматы,0,0.22263105338409947,0,1,1
332,38,30-45,1,2,10,1997.0,0,фотография,0,0.4414526362885573,0,1,0
