название,тип,номер_билета
Green Apelsin,концерт,5337621
Секреты Джузеппе Арчимбольдо,выставка,5391658
Музыка в оранжерее Таврического сада,концерт,5421370
Секреты Джузеппе Арчимбольдо,выставка,5443781
Ван Гог и Тео,выставка,5461734
Музыка в оранжерее Таврического сада,концерт,5638184
Секреты Джузеппе Арчимбольдо,выставка,5667444
Гарри Поттер. Симфонический саундтрек,концерт,5759050
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,5804923
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,5910560
Вселенная Островского,театр,5947942
Фрида: невероятное желание жить!,театр,6063664
Музыка в оранжерее Таврического сада,концерт,6128346
Вселенная Островского,театр,6159499
Мастер и Маргарита,театр,6287236
Green Apelsin,концерт,6347021
Мастер и Маргарита,театр,6422301
Музыка в оранжерее Таврического сада,концерт,6567902
Фрида: невероятное желание жить!,театр,6630907
Секреты Джузеппе Арчимбольдо,выставка,6638511
Секреты Джузеппе Арчимбольдо,выставка,6656689
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,6844080
Ван Гог и Тео,выставка,6917149
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,6981743
Мастер и Маргарита,театр,7147869
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,7318002
Секреты Джузеппе Арчимбольдо,выставка,7333629
Мастер и Маргарита,театр,7380362
Лебединое озеро,театр,7419253
Лебединое озеро,театр,7456866
Лебединое озеро,театр,7500542
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,7505255
Лебединое озеро,театр,7615340
Секреты Джузеппе Арчимбольдо,выставка,7736412
Green Apelsin,концерт,7977955
Green Apelsin,концерт,8031216
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,8044589
Гарри Поттер. Симфонический саундтрек,концерт,8085743
Вселенная Островского,театр,8106267
Мастер и Маргарита,театр,8122826
Гарри Поттер. Симфонический саундтрек,концерт,8285706
Секреты Джузеппе Арчимбольдо,выставка,8315282
Фрида: невероятное желание жить!,театр,8342399
Гарри Поттер. Симфонический саундтрек,концерт,8459648
Фрида: невероятное желание жить!,театр,8495472
Вселенная Островского,театр,8524377
Вселенная Островского,театр,8561817
Мастер и Маргарита,театр,8682401
Фрида: невероятное желание жить!,театр,8719255
Мастер и Маргарита,театр,8791842
Мастер и Маргарита,театр,8870962
Секреты Джузеппе Арчимбольдо,выставка,8880597
Вселенная Островского,театр,9052836
Гарри Поттер. Симфонический саундтрек,концерт,9090945
Лебединое озеро,театр,9136971
Гарри Поттер. Симфонический саундтрек,концерт,9139375
Вселенная Островского,театр,9196538
Мастер и Маргарита,театр,9222079
Гарри Поттер. Симфонический саундтрек,концерт,9286930
Фрида: невероятное желание жить!,театр,9320331
Фрида: невероятное желание жить!,театр,9349176
Green Apelsin,концерт,9406054
Вселенная Островского,театр,9423543
Фрида: невероятное желание жить!,театр,9484373
Green Apelsin,концерт,9514319
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,9704738
Фрида: невероятное желание жить!,театр,9785828
Гарри Поттер. Симфонический саундтрек,концерт,9843164
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,9853223
