Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,79,No,4,1,71.0
9,52,No,9,0,49.0
7,91,Yes,6,3,82.0
1,97,Yes,8,0,71.0
1,71,No,9,1,43.0
9,76,No,8,2,77.0
9,89,Yes,5,3,86.0
4,54,No,7,5,34.0
9,51,No,6,7,49.0
3,88,No,5,8,69.0
7,96,No,5,3,84.0
6,54,No,8,0,41.0
8,73,Yes,6,4,68.0
9,45,Yes,8,4,44.0
5,56,No,7,8,41.0
1,87,No,8,5,58.0
3,88,Yes,4,4,68.0
8,96,No,8,9,94.0
6,59,Yes,4,9,47.0
8,48,No,5,4,40.0
9,98,Yes,7,7,100.0
4,44,Yes,9,0,23.0
1,62,No,4,4,36.0
1,72,No,7,0,47.0
4,77,Yes,8,6,60.0
7,95,No,9,6,83.0
2,53,Yes,8,9,33.0
3,56,No,5,7,36.0
1,96,No,8,6,74.0
5,58,No,4,8,42.0
1,72,Yes,5,7,47.0
8,40,Yes,7,7,31.0
1,52,No,5,2,26.0
1,85,Yes,7,9,58.0
2,66,No,6,3,42.0
2,45,Yes,4,3,18.0
6,98,No,4,0,85.0
7,45,Yes,7,5,36.0
5,72,Yes,8,1,58.0
1,69,Yes,9,8,45.0
1,85,Yes,8,0,60.0
3,74,Yes,6,0,56.0
2,62,Yes,7,9,42.0
5,49,No,6,5,33.0
6,90,No,7,0,77.0
7,58,Yes,6,2,51.0
4,90,No,7,9,72.0
7,67,Yes,4,1,57.0
8,62,No,6,8,53.0
1,43,No,6,4,16.0
6,59,No,7,5,45.0
8,58,No,5,1,49.0
5,81,Yes,5,7,67.0
4,66,No,4,5,49.0
2,96,No,8,7,73.0
6,73,No,8,7,65.0
6,43,Yes,4,0,27.0
1,95,No,8,6,72.0
9,77,Yes,9,1,74.0
6,46,Yes,9,7,38.0
3,87,No,9,1,67.0
4,46,Yes,9,3,28.0
4,89,No,7,1,73.0
3,91,No,5,6,72.0
3,65,No,4,4,42.0
3,65,No,7,8,47.0
4,93,No,9,4,77.0
7,58,No,4,7,49.0
4,48,No,5,1,30.0
9,59,Yes,8,2,54.0
1,81,Yes,7,5,56.0
8,84,No,5,6,75.0
7,89,No,4,9,78.0
2,55,Yes,6,7,32.0
